中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,20 ms,79 Mbps,10137 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,84 ms,392 Mbps,50176 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,100 ms,239 Mbps,30617 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,69 ms,335 Mbps,42905 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,42 ms,381 Mbps,48844 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,14 ms,800 Mbps,102400 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,75 ms,375 Mbps,48025 kB/s
150.230.44.13,443,150.230.44.13,US,Los Angeles,中转,71 ms,297 Mbps,38092 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,288 Mbps,36966 kB/s
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,70 ms,379 Mbps,48537 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,89 ms,47 Mbps,6122 kB/s
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,6 ms,39 Mbps,5074 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,87 ms,359 Mbps,45977 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,31 ms,533 Mbps,68300 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,91 ms,252 Mbps,32256 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,21 ms,80 Mbps,10240 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,83 ms,263 Mbps,33689 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,81 ms,224 Mbps,28672 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,276 Mbps,35430 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,84 ms,256 Mbps,32768 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,107 ms,210 Mbps,26931 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,102 ms,228 Mbps,29184 kB/s
