中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,30 ms,623 Mbps,79769 kB/s
35.230.79.26,443,35.212.143.193,US,Seattle,隧道,48 ms,481 Mbps,61644 kB/s
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,27 ms,626 Mbps,80179 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,26 ms,832 Mbps,106496 kB/s
129.146.46.164,443,129.146.46.164,US,328 Mbps,42086 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,64 Mbps,8297 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,549 Mbps,70348 kB/s
35.197.23.75,443,35.212.143.193,US,Seattle,隧道,51 ms,358 Mbps,45875 kB/s
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,26 ms,762 Mbps,97587 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,25 ms,65 Mbps,8431 kB/s
34.82.76.253,443,34.168.189.228,US,Seattle,隧道,50 ms,511 Mbps,65433 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,43 ms,555 Mbps,71065 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,59 ms,360 Mbps,46182 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,352 Mbps,45056 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,108 ms,45 Mbps,5793 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,78 ms,282 Mbps,36147 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,129 ms,155 Mbps,19865 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,127 ms,219 Mbps,28057 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,134 ms,194 Mbps,24883 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,132 ms,146 Mbps,18739 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,115 ms,43 Mbps,5523 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,123 ms,44 Mbps,5641 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,141 Mbps,18124 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,120 ms,39 Mbps,5074 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,137 ms,136 Mbps,17510 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,37 Mbps,4812 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,148 ms,49 Mbps,6345 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,128 ms,43 Mbps,5524 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,141 ms,210 Mbps,26931 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,167 ms,115 Mbps,14745 kB/s
130.162.144.191,443,2a09:bac1:3f40::299:3a,KR,Seoul,隧道,177 ms,42 Mbps,5457 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,195 ms,41 Mbps,5276 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:114,KR,Seoul,隧道,175 ms,102 Mbps,13107 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,177 ms,34 Mbps,4438 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,243 ms,2 Mbps,370 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,189 ms,39 Mbps,5087 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,146 ms,0 Mbps,53 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,228 ms,24 Mbps,3084 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,236 ms,70 Mbps,9034 kB/s
149.129.8.215,443,47.88.55.210,US,San Jose,隧道,207 ms,3 Mbps,471 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,189 ms,5 Mbps,704 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,227 ms,58 Mbps,7516 kB/s
193.123.80.245,443,193.123.80.245,AE,Frankfurt,中转,227 ms,30 Mbps,3898 kB/s
