中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,43 ms,976 Mbps,124928 kB/s,124928.0
35.230.79.26,443,35.212.170.84,US,Seattle,隧道,31 ms,952 Mbps,121856 kB/s,121856.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,1 ms,824 Mbps,105472 kB/s,105472.0
35.197.23.75,443,35.212.170.84,US,Seattle,隧道,22 ms,672 Mbps,86016 kB/s,86016.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,618 Mbps,79155 kB/s,79155.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,22 ms,616 Mbps,78848 kB/s,78848.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,9 ms,524 Mbps,67072 kB/s,67072.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,23 ms,372 Mbps,47616 kB/s,47616.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,350 Mbps,44851 kB/s,44851.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,113 ms,340 Mbps,43520 kB/s,43520.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,27 ms,308 Mbps,39424 kB/s,39424.0
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,75 ms,297 Mbps,38092 kB/s,38092.0
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,69 ms,281 Mbps,36044 kB/s,36044.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,111 ms,198 Mbps,25395 kB/s,25395.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,158 ms,154 Mbps,19763 kB/s,19763.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,173 ms,132 Mbps,16896 kB/s,16896.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,139 ms,130 Mbps,16691 kB/s,16691.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,167 ms,121 Mbps,15564 kB/s,15564.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,147 ms,112 Mbps,14438 kB/s,14438.0
143.47.252.169,443,2a0b:21c0:1007:c9:0:e74d:eac3:a282,DE,Frankfurt,隧道,158 ms,75 Mbps,9710 kB/s,9710.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,164 ms,46 Mbps,6007 kB/s,6007.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,120 ms,44 Mbps,5705 kB/s,5705.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,114 ms,43 Mbps,5615 kB/s,5615.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,42 Mbps,5418 kB/s,5418.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,201 ms,39 Mbps,5061 kB/s,5061.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,151 ms,38 Mbps,4898 kB/s,4898.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,145 ms,37 Mbps,4827 kB/s,4827.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,155 ms,36 Mbps,4691 kB/s,4691.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,141 ms,33 Mbps,4338 kB/s,4338.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,73 ms,23 Mbps,3065 kB/s,3065.0
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,179 ms,4 Mbps,513 kB/s,513.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,174 ms,2 Mbps,376 kB/s,376.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,111 ms,2 Mbps,321 kB/s,321.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,225 ms,0 Mbps,43 kB/s,43.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,167 ms,0 Mbps,3 kB/s,3.0
