中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
198.23.254.51,443,198.23.254.51,US,San Jose,中转,55 ms,368 Mbps,47104 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,21 ms,738 Mbps,94515 kB/s
34.82.76.253,443,34.83.80.46,US,Seattle,隧道,49 ms,552 Mbps,70656 kB/s
35.197.23.75,443,35.212.156.18,US,Seattle,隧道,49 ms,528 Mbps,67584 kB/s
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,20 ms,59 Mbps,7607 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,60 ms,420 Mbps,53760 kB/s
35.230.79.26,443,35.212.156.18,US,Seattle,隧道,50 ms,513 Mbps,65740 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,56 ms,362 Mbps,46387 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,23 ms,71 Mbps,9121 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Dallas,隧道,49 ms,50 Mbps,6487 kB/s
192.9.139.160,443,192.9.139.160,US,Los Angeles,中转,57 ms,455 Mbps,58265 kB/s
129.146.46.164,443,129.146.46.164,,colo.txt:Dallas,中转,0 ms,310 Mbps,39731 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,777 Mbps,99532 kB/s
150.230.44.13,443,150.230.44.13,US,Dallas,中转,60 ms,372 Mbps,47718 kB/s
129.146.243.241,443,129.146.243.241,US,Los Angeles,中转,63 ms,373 Mbps,47820 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,22 ms,762 Mbps,97587 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,107 ms,43 Mbps,5518 kB/s
47.90.141.204,443,91.149.239.64,US,Los Angeles,隧道,31 ms,30 Mbps,3877 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,120 ms,42 Mbps,5441 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,112 ms,61 Mbps,7935 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,122 ms,176 Mbps,22528 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,121 ms,207 Mbps,26521 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,57 ms,36 Mbps,4726 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,112 ms,170 Mbps,21811 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,110 ms,208 Mbps,26726 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,148 ms,156 Mbps,20070 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,63 ms,269 Mbps,34508 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,109 ms,256 Mbps,32870 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,124 ms,45 Mbps,5857 kB/s
192.18.130.65,443,192.18.130.65,US,Los Angeles,中转,61 ms,470 Mbps,60211 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,107 ms,26 Mbps,3446 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,107 ms,42 Mbps,5423 kB/s
192.9.146.103,443,192.9.146.103,US,Dallas,中转,53 ms,404 Mbps,51814 kB/s
155.248.196.123,443,155.248.196.123,US,Toronto,中转,57 ms,43 Mbps,5552 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,180 ms,123 Mbps,15769 kB/s
168.138.149.17,443,168.138.149.17,BR,S
