中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,55 ms,426 Mbps,54579 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,51 ms,426 Mbps,54579 kB/s
18.216.55.100,443,18.216.55.100,US,Chicago,中转,23 ms,751 Mbps,96153 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,24 ms,46 Mbps,6002 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,77 ms,308 Mbps,39424 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,101 ms,215 Mbps,27545 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,116 ms,248 Mbps,31846 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,66 ms,431 Mbps,55193 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,22 ms,80 Mbps,10240 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,56 ms,467 Mbps,59801 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,111 ms,192 Mbps,24678 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,60 ms,355 Mbps,45465 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,117 ms,248 Mbps,31744 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,115 ms,42 Mbps,5403 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,112 ms,44 Mbps,5745 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,107 ms,37 Mbps,4822 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,72 ms,206 Mbps,26419 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,124 ms,24 Mbps,3133 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,123 ms,38 Mbps,4927 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,119 ms,168 Mbps,21504 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,149 Mbps,19148 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,105 ms,46 Mbps,5980 kB/s
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,176 ms,163 Mbps,20889 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,112 ms,48 Mbps,6235 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,216 ms,40 Mbps,5201 kB/s
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,196 ms,85 Mbps,10956 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,223 ms,77 Mbps,9941 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,205 ms,104 Mbps,13414 kB/s
149.129.8.215,443,47.88.8.186,US,San Jose,隧道,206 ms,3 Mbps,474 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,206 ms,36 Mbps,4660 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,116 ms,23 Mbps,2975 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,338 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,214 ms,78 Mbps,10035 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,223 ms,36 Mbps,4711 kB/s
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,176 ms,96 Mbps,12390 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,230 ms,43 Mbps,5619 kB/s
168.138.50.249,443,168.138.50.249,JP,Osaka,中转,205 ms,36 Mbps,4710 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,219 ms,11 Mbps,1524 kB/s
130.162.144.191,443,2a09:bac5:4736:1a14::299:29,KR,Seoul,隧道,199 ms,37 Mbps,4855 kB/s
47.57.233.126,443,47.88.10.133,US,San Jose,隧道,206 ms,0 Mbps,24 kB/s
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,240 ms,0 Mbps,114 kB/s
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,Seattle,隧道,234 ms,1 Mbps,210 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,279 ms,4 Mbps,531 kB/s
193.123.80.245,443,193.123.80.245,AE,Paris,中转,205 ms,16 Mbps,2090 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,263 ms,0 Mbps,13 kB/s
