中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.202.158.120,443,35.202.158.120,US,Chicago,中转,28 ms,626 Mbps,80179 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,10 ms,132 Mbps,16896 kB/s
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,79 ms,398 Mbps,50995 kB/s
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,4 ms,856 Mbps,109568 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,20 ms,49 Mbps,6312 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,293 Mbps,37580 kB/s
129.146.7.98,443,2a09:bac5:60eb:1846::26b:67,US,Los Angeles,隧道,73 ms,60 Mbps,7804 kB/s
35.197.23.75,443,35.212.201.5,US,Seattle,隧道,71 ms,384 Mbps,49254 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,90 ms,249 Mbps,31948 kB/s
35.230.79.26,443,35.212.201.5,US,Seattle,隧道,76 ms,347 Mbps,44441 kB/s
130.61.23.77,443,130.61.23.77,221 Mbps,28364 kB/s
130.61.23.77,,,隧道,0 ms,null Mbps,null kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,116 ms,34 Mbps,4447 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,91 ms,281 Mbps,36044 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,74 ms,282 Mbps,36147 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,95 ms,43 Mbps,5591 kB/s
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,104 ms,108 Mbps,13824 kB/s
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,99 ms,291 Mbps,37273 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,38 ms,491 Mbps,62873 kB/s
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,88 ms,44 Mbps,5738 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,74 ms,249 Mbps,31948 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,264 Mbps,33792 kB/s
129.146.221.78,443,2603:c020:1:6eee:6a58:4a78:d792:985e,US,Portland,隧道,76 ms,44 Mbps,5698 kB/s
129.151.254.48,443,129.151.254.48,FR,Marseille,中转,103 ms,32 Mbps,4096 kB/s
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,83 ms,43 Mbps,5553 kB/s
184.169.181.217,443,184.169.181.217,US,Portland,中转,92 ms,373 Mbps,47820 kB/s
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,90 ms,347 Mbps,44441 kB/s
192.18.130.65,443,192.18.130.65,US,San Jose,中转,79 ms,337 Mbps,43212 kB/s
193.123.37.219,443,2a0b:21c0:100a:1b2:0:8c9e:bd4e:3d0b,DE,Frankfurt,隧道,104 ms,227 Mbps,29081 kB/s
192.9.146.103,443,192.9.146.103,US,San Jose,中转,73 ms,299 Mbps,38297 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,100 ms,243 Mbps,31129 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,106 ms,49 Mbps,6375 kB/s
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,107 ms,48 Mbps,6248 kB/s
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,245 ms,2 Mbps,285 kB/s
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,81 ms,46 Mbps,5928 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,168 ms,116 Mbps,14848 kB/s
141.144.199.182,443,2a0b:21c0:100a:1b3:0:ec89:1c0c:e10a,DE,Frankfurt,隧道,101 ms,215 Mbps,27545 kB/s
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,114 ms,151 Mbps,19353 kB/s
130.162.144.191,443,2a09:bac1:3f00::22:119,KR,Seoul,隧道,204 ms,30 Mbps,3873 kB/s
152.70.155.147,443,152.70.155.147,US,San Jose,中转,84 ms,211 Mbps,27033 kB/s
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,211 ms,100 Mbps,12902 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,97 ms,46 Mbps,5898 kB/s
