中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,San Jose,中转,6 ms,2344 Mbps,300032 kB/s,300032.0
35.197.23.75,443,35.212.215.237,US,Seattle,隧道,26 ms,880 Mbps,112640 kB/s,112640.0
34.82.76.253,443,35.185.230.104,US,Seattle,隧道,39 ms,848 Mbps,108544 kB/s,108544.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,9 ms,840 Mbps,107520 kB/s,107520.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,2 ms,797 Mbps,102092 kB/s,102092.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,3 ms,661 Mbps,84684 kB/s,84684.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,20 ms,624 Mbps,79974 kB/s,79974.0
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,77 ms,488 Mbps,62464 kB/s,62464.0
150.230.44.13,443,150.230.44.13,US,San Jose,中转,13 ms,389 Mbps,49868 kB/s,49868.0
35.202.158.120,443,35.202.158.120,US,Chicago,中转,54 ms,378 Mbps,48435 kB/s,48435.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,73 ms,339 Mbps,43417 kB/s,43417.0
129.146.46.164,443,129.146.46.164,US,San Diego,中转,26 ms,288 Mbps,36966 kB/s,36966.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,36 ms,236 Mbps,30310 kB/s,30310.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,105 ms,217 Mbps,27852 kB/s,27852.0
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,108 ms,168 Mbps,21504 kB/s,21504.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,173 ms,156 Mbps,19968 kB/s,19968.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,163 ms,152 Mbps,19558 kB/s,19558.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,143 ms,151 Mbps,19353 kB/s,19353.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,173 ms,148 Mbps,19046 kB/s,19046.0
193.122.125.14,443,130.162.140.114,KR,Hong Kong,隧道,161 ms,140 Mbps,17920 kB/s,17920.0
129.154.207.203,443,2a09:bac1:3f00::3d0:5b,KR,Hong Kong,隧道,150 ms,136 Mbps,17510 kB/s,17510.0
192.9.177.204,443,192.9.177.204,AU,Sydney,中转,151 ms,132 Mbps,16998 kB/s,16998.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,168 ms,127 Mbps,16281 kB/s,16281.0
158.180.82.186,443,158.180.82.186,KR,Hong Kong,中转,155 ms,124 Mbps,15974 kB/s,15974.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,164 ms,124 Mbps,15872 kB/s,15872.0
130.61.23.77,443,130.61.23.77,,colo.txt:Frankfurt,中转,0 ms,114 Mbps,14643 kB/s,14643.0
144.24.167.37,443,2a0b:21c0:1007:1cb:0:410b:d323:318f,DE,Frankfurt,隧道,172 ms,112 Mbps,14336 kB/s,14336.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,163 ms,102 Mbps,13107 kB/s,13107.0
129.146.7.98,443,2a09:bac1:76a0:e18::1bd:fd,US,Los Angeles,隧道,25 ms,88 Mbps,11366 kB/s,11366.0
168.138.149.17,443,168.138.149.17,BR,São Paulo,中转,196 ms,86 Mbps,11059 kB/s,11059.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,249 ms,75 Mbps,9643 kB/s,9643.0
158.101.212.88,443,2a0b:21c0:100a:1b5:0:1e4a:466a:4cf8,DE,Frankfurt,隧道,181 ms,69 Mbps,8870 kB/s,8870.0
129.146.16.219,443,129.146.16.219,US,Los Angeles,中转,20 ms,59 Mbps,7559 kB/s,7559.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,194 ms,58 Mbps,7496 kB/s,7496.0
131.186.17.132,443,131.186.17.132,KR,Hong Kong,中转,180 ms,46 Mbps,5972 kB/s,5972.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,168 ms,46 Mbps,5946 kB/s,5946.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,75 ms,46 Mbps,5924 kB/s,5924.0
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,160 ms,45 Mbps,5855 kB/s,5855.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,166 ms,43 Mbps,5541 kB/s,5541.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,176 ms,41 Mbps,5369 kB/s,5369.0
130.61.201.195,443,130.61.201.195,DE,Frankfurt,中转,166 ms,41 Mbps,5342 kB/s,5342.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,146 ms,41 Mbps,5339 kB/s,5339.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,166 ms,41 Mbps,5272 kB/s,5272.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,40 Mbps,5217 kB/s,5217.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,162 ms,40 Mbps,5180 kB/s,5180.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,189 ms,39 Mbps,5079 kB/s,5079.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,177 ms,36 Mbps,4644 kB/s,4644.0
150.230.20.4,443,150.230.20.4,NL,Amsterdam,中转,194 ms,35 Mbps,4597 kB/s,4597.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,171 ms,33 Mbps,4304 kB/s,4304.0
130.162.144.191,443,2a09:bac5:4732:2646::3d0:21,KR,Hong Kong,隧道,175 ms,31 Mbps,4083 kB/s,4083.0
129.151.148.35,443,129.151.148.35,AE,Amsterdam,中转,297 ms,31 Mbps,4026 kB/s,4026.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,74 ms,27 Mbps,3562 kB/s,3562.0
146.56.162.25,443,146.56.162.25,KR,Hong Kong,中转,138 ms,23 Mbps,3010 kB/s,3010.0
47.90.141.204,443,91.149.239.238,US,Los Angeles,隧道,67 ms,5 Mbps,642 kB/s,642.0
193.123.80.245,443,193.123.80.245,AE,Amsterdam,中转,265 ms,4 Mbps,615 kB/s,615.0
149.129.8.215,443,47.254.26.25,US,San Jose,隧道,166 ms,4 Mbps,514 kB/s,514.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,184 ms,3 Mbps,388 kB/s,388.0
47.57.233.126,443,47.88.21.157,US,San Jose,隧道,167 ms,2 Mbps,345 kB/s,345.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,338 ms,0 Mbps,16 kB/s,16.0
